Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4011","Magnesium supply","2021","2021","6209","Value","mg/cap/d","191","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2010","2010","6209","Value","mg/cap/d","495","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2011","2011","6209","Value","mg/cap/d","495","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2012","2012","6209","Value","mg/cap/d","524","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2013","2013","6209","Value","mg/cap/d","544","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2014","2014","6209","Value","mg/cap/d","562","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2015","2015","6209","Value","mg/cap/d","592","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2016","2016","6209","Value","mg/cap/d","557","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2017","2017","6209","Value","mg/cap/d","568","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2018","2018","6209","Value","mg/cap/d","542","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2019","2019","6209","Value","mg/cap/d","569","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2020","2020","6209","Value","mg/cap/d","561","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4012","Phosphorus supply","2021","2021","6209","Value","mg/cap/d","516","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2010","2010","6209","Value","mg/cap/d","584","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2011","2011","6209","Value","mg/cap/d","588","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2012","2012","6209","Value","mg/cap/d","623","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2013","2013","6209","Value","mg/cap/d","649","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2014","2014","6209","Value","mg/cap/d","674","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2015","2015","6209","Value","mg/cap/d","705","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2016","2016","6209","Value","mg/cap/d","660","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2017","2017","6209","Value","mg/cap/d","677","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2018","2018","6209","Value","mg/cap/d","644","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2019","2019","6209","Value","mg/cap/d","677","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2020","2020","6209","Value","mg/cap/d","662","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4013","Potassium supply","2021","2021","6209","Value","mg/cap/d","610","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4021","Thiamin supply","2010","2010","6209","Value","mg/cap/d","0.62","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4021","Thiamin supply","2011","2011","6209","Value","mg/cap/d","0.62","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","072","Botswana","FG1","Cereals and their products","4021","Thiamin supply","2012","2012","6209","Value","mg/cap/d","0.65","E","Estimated value",""
